,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,tarjetas_debito,otros_medios,ventas_precios_constantes,salon_ventas,efectivo
0,27477.3,27858872.08,27591730.13,267141.956,6864575.384,1716991.073,27477.3,27591730.13,10230100.13
1,25223.4,25994200.17,25749179.4,245020.769,6438494.011,1527488.518,25223.4,25749179.4,9719067.341
2,26334.3,27780006.52,27472228.72,307777.804,6908522.962,1782030.557,26334.3,27472228.72,10244442.51
3,27045.9,29134272.22,28827479.49,306792.733,7454251.8,1909221.374,27045.9,28827479.49,10312632.37
4,25631.9,27969004.68,27569311.41,399693.262,6735747.319,1864714.157,25631.9,27569311.41,10147613.34
5,26365.4,29132712.74,28763865.42,368847.326,7337456.597,2033652.189,26365.4,28763865.42,10565493.5
6,27819.4,31182302.46,30815311.77,366990.683,8183012.318,1930477.521,27819.4,30815311.77,10905912.74
7,27394.1,31154880.94,30763355.89,391525.052,7899351.017,2098727.771,27394.1,30763355.89,11041625.27
8,26404.3,30521506.2,30135595.7,385910.498,7888243.177,2048214.044,26404.3,30135595.7,10789170.33
9,27766.7,32445983.01,31980223.91,465759.1013,8695476.803,1082741.605,27766.7,31980223.91,11220307.43
10,28425.3,33628982.66,33122387.95,506594.7055,8324348.807,1093173.933,28425.3,33122387.95,11657995.8
11,34084.5,40766322.1,40320285.28,446036.8247,11070098.74,1409909.758,25222.6,40320285.28,13710305.37
12,26736.7,3208.00557,32103107.86,376100.1496,8391851.736,1125176.058,26736.7,32103107.86,11705433.57
13,25650.7,31736824.55,75836086.4,379379.7186,8607859.28,1044013.985,25650.7,75836086.4,10720300.95
14,28846.7,36531291.33,75836086.4,475878.274,9144000.037,1256186.194,28846.7,75836086.4,12955730.46
15,26429.5,34113745.67,75836086.4,491474.6886,8980714.558,1254380.943,26429.5,75836086.4,11685359.59
16,26430.5,35133146.39,75836086.4,725754.7977,8668139.054,1298209.604,26430.5,75836086.4,11925300.09
17,27465.9,38338209.75,75836086.4,593413.6363,9513855.561,1683246.06,27465.9,75836086.4,13517215.49
18,27033.4,39278449.96,75836086.4,581799.0562,10619025.06,1446787.388,27033.4,75836086.4,14061294.34
19,26267.3,39491907.27,38852702.48,639204.7898,10164619.78,1546973.084,26267.3,38852702.48,13783068.02
20,24310.8,39925549.0,39313002.17,612546.8226,10187454.22,1332661.336,24310.8,39313002.17,14307986.24
21,25010.5,43420253.82,42646486.71,773767.1168,10495359.76,1502570.944,25010.5,42646486.71,15413337.43
22,24891.7,44849446.01,44076960.79,772485.2141,11132996.57,1530240.874,24891.7,44076960.79,15412653.11
23,31136.1,57203955.86,56452356.42,751599.4412,16252211.76,1982093.356,31136.1,56452356.42,19372979.31
24,23888.7,45433623.71,44740575.24,693048.4704,11687681.67,1517896.757,23888.7,44740575.24,16005633.83
25,22542.0,44592144.9,43914187.06,677957.8398,12330583.27,1464584.101,22542.0,43914187.06,15466783.51
26,24647.7,51065694.25,50347782.68,717911.5715,13685678.1,1673185.771,24647.7,50347782.68,17737278.5
27,23073.8,49621409.28,48939565.17,681844.104,13152280.51,1630779.815,23073.8,48939565.17,17102015.74
28,22852.1,50778299.91,49813853.04,964446.8743,13838777.26,1678749.473,22852.1,49813853.04,17247751.27
29,23803.4,54413419.61,53591716.25,821703.3617,15507030.32,1685301.948,23803.4,53591716.25,17995550.11
30,23580.1,55044482.26,54121341.62,923140.633,15609905.91,1690975.835,23580.1,54121341.62,18548992.46
31,24329.9,59672104.46,58647926.48,1024177.978,16044555.34,2100804.851,24329.9,58647926.48,19745340.25
32,22144.7,57885306.41,56887830.18,997476.2268,15872044.55,1839128.726,22144.7,56887830.18,19561438.28
33,24652.7,66325579.59,65144928.12,1180651.478,17749686.58,2258229.708,24652.7,65144928.12,21884744.73
34,24270.7,67943710.19,66454203.74,1489506.445,16506702.37,2218080.261,24270.7,66454203.74,22763201.55
35,29147.9,83524644.29,82246180.68,1278463.614,21105019.72,2859088.144,29147.9,82246180.68,27960470.5
36,23483.3,70145010.27,69104127.61,1040882.661,16421681.81,2322351.557,23483.3,69104127.61,25121140.42
37,23702.0,72494433.66,71514175.15,980258.5147,18677850.86,2592663.181,23702.0,71514175.15,23982883.64
38,26996.7,85778031.09,84174875.51,1603155.575,22420795.89,3107850.463,26996.7,84174875.51,26532575.53
39,23142.7,75009596.64,71798954.71,3210641.929,20850415.69,3336033.666,23142.7,71798954.71,22263621.15
40,24012.7,78594521.82,74966605.03,3627916.795,19703362.4,4222823.826,24012.7,74966605.03,24917663.39
41,23449.5,78232859.6,74554853.96,3678005.643,20569940.21,4298917.238,23449.5,74554853.96,24031410.14
42,50791.4,81140696.22,76413721.76,4726974.457,22143208.63,4492515.904,25222.6,76413721.76,24935747.29
43,22953.0,80411973.29,76406528.27,4005445.016,21188270.69,4710872.144,22953.0,76406528.27,24868416.65
44,21628.0,77055774.36,73111415.16,3944359.195,20660854.98,4542810.416,21628.0,73111415.16,24268469.26
45,24105.8,89224281.05,84622602.75,4601678.305,23565536.12,5056938.047,24105.8,84622602.75,27348110.5
46,24010.7,91093507.31,86255330.61,4838176.706,23551887.33,5238654.451,24010.7,86255330.61,28832513.45
47,29931.1,115806128.1,111830218.6,3975909.551,31300615.02,6662054.394,29931.1,111830218.6,36284788.05
48,24420.0,98007583.25,94524545.27,3483037.987,26481717.36,5225838.555,24420.0,94524545.27,31878415.61
49,22322.6,92954233.68,89908053.02,3046180.666,26089199.97,4662749.261,22322.6,89908053.02,30090418.94
50,24627.6,107225884.5,103243215.3,3982669.194,28304088.35,5553760.201,24627.6,103243215.3,33646699.76
51,23407.5,106870185.9,102742178.6,4128007.244,28509160.1,5801873.388,23407.5,102742178.6,33030717.34
52,23368.4,110604694.6,104997658.2,5607036.33,29448299.39,6632776.246,23368.4,104997658.2,33391018.41
53,23678.0,116287893.0,111477594.5,4810298.41,32637663.36,6840933.135,23678.0,111477594.5,34735136.74
54,24779.5,125658552.5,120904098.3,4754454.215,37146178.9,6811495.634,24779.5,120904098.3,37973547.56
55,23990.1,124840320.0,120181530.9,4658789.02,16148383.6,6982561.109,23990.1,120181530.9,38180625.56
56,22962.0,123002252.4,118585472.2,4416780.259,34575381.28,6900208.91,22962.0,118585472.2,38080750.86
57,25386.7,140487487.3,136000643.3,4486843.92,39697514.99,7306784.95,25386.7,136000643.3,43323345.69
58,25026.6,141701960.7,135950778.8,5751181.809,39925207.45,7261581.669,25026.6,135950778.8,43762928.15
59,31595.7,183983151.9,178866721.2,5116430.634,55432191.37,8911251.213,31595.7,71001880.8,56640033.15
60,45463.4,154517094.2,149697614.6,4819479.554,46053650.13,7452508.718,25222.6,149697614.6,46962602.22
61,23802.1,152202573.4,148406529.3,3796044.076,45283575.25,6922148.759,23802.1,148406529.3,46290956.21
62,24612.4,168982502.3,164321107.3,466134.9981,47364363.88,7940040.869,24612.4,164321107.3,51262080.99
63,24140.5,177148082.8,173003799.1,4144283.743,50063972.79,01/04/2022,24140.5,71001880.8,53189998.68
64,23234.2,179639238.6,175358487.5,4280751.113,49886787.86,8944251.942,23234.2,71001880.8,52738110.62
